Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#ILookLikeAnEngineer,wwicgroup,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2010,Nov,False,86,False,0
#ILookLikeAnEngineer,codeblast,Found this thing my daughter wrote at school: "When I grow up: I will be a computer programmer" #ILookLikeAnEngineer https://t.co/hPHnW8TvBw,2010,Jun,False,0,False,12
#ILookLikeAnEngineer,TriCelerate,RT @trengarajan: @vanidevs it is wonderful to see women engineers on many teams at #vanhacks. #LeanIn #ILookLikeAnEngineer #BCtech,2014,May,False,1,False,0
#ILookLikeAnEngineer,JAYZTOP10,RT @GoogleAppsDev: Behind the scenes with the Google Apps Script engineering team #ilooklikeanengineer http://t.co/B5UL6AZdFV,2014,Mar,False,39,False,0
#ILookLikeAnEngineer,AlisaDelGaudio,RT @CheckpointSys: Checkpoint is proud of its outstanding global #RFID Software Team #ILookLikeAnEngineer https://t.co/7znzvy01s9,2011,Oct,False,8,False,0
#ILookLikeAnEngineer,kshubham85,RT @Snapchat: Team Snapchat! #ILookLikeAnEngineer http://t.co/2mEEc0GGZd,2016,Feb,False,204,False,0
#ILookLikeAnEngineer,ChavaSans,RT @JennHalweil: What it means to be a woman in #tech #ILookLikeAnEngineer #engineering #prince #charming https://t.co/RLzSNSbgMx,2011,Dec,False,5,False,0
#ILookLikeAnEngineer,Sci_Invent,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Jun,False,86,False,0
#ILookLikeAnEngineer,HeadlandsCareer,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Oct,False,86,False,0
#ILookLikeAnEngineer,HopefulGeek,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2011,Oct,False,86,False,0
#ILookLikeAnEngineer,kimmiejaks,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Jul,False,86,False,0
#ILookLikeAnEngineer,carriehartnell,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Feb,False,86,False,0
#ILookLikeAnEngineer,IETJoanneLongt,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Nov,False,86,False,0
#ILookLikeAnEngineer,nataliewride,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Nov,False,86,False,0
#ILookLikeAnEngineer,EngAlumni,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Sep,False,86,False,0
#ILookLikeAnEngineer,14Tafad,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Nov,False,86,False,0
#ILookLikeAnEngineer,elemdoubleu,|@SandidgeShannon For an #ILookLikeAnEngineer shirt, check out https://t.co/66xCeo5eTg|,2010,Feb,False,0,False,0
#ILookLikeAnEngineer,CharlieMoos,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Jan,False,86,False,0
#ILookLikeAnEngineer,CarolaChinchon,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2010,Nov,False,86,False,0
#ILookLikeAnEngineer,ClaireLYoung,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Jul,False,86,False,0
#ILookLikeAnEngineer,paulapaultweets,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2010,Feb,False,86,False,0
#ILookLikeAnEngineer,rebakolumbia,|I don't often cosplay, but when I do, it's to dress up as historic female scientists at #STEM events. 

#EngineerLife #ILookLikeAnEngineer|,2015,May,False,0,False,1
#ILookLikeAnEngineer,nassersahlool,Gender neutral #denmark shows how to fix imbalance in tech: https://t.co/TRhKrJTxu9  #ILookLikeAnEngineer #likeagirl https://t.co/ZpMHHPsAyW,2008,Oct,False,0,False,0
#ILookLikeAnEngineer,Intel_IRL,It's the final day of #EngineersWeek &amp; the last day of our #ILookLikeAnEngineer campaign; May the force be with you! https://t.co/9lTfeO4sy8,2010,Mar,False,0,False,2
#ILookLikeAnEngineer,MsRoyARS,|RT @ProjectVentura1: Makers gonna make, fear not little bro! Come try it yourself at our #sxswedu workshop #makered #ILookLikeAnEngineer ht…|,2015,Aug,False,2,False,0
#ILookLikeAnEngineer,PaulExcell,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Jun,False,86,False,0
#ILookLikeAnEngineer,n_demarcellis,|RT @Mike_K_Spencer: Women in Tech #Reloaded
#millennials #womenintech #siliconvalley #genderequity @LinkedInPulse  #ILookLikeAnEngineer htt…|,2014,Mar,False,4,False,0
#ILookLikeAnEngineer,katenockles,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Apr,False,86,False,0
#ILookLikeAnEngineer,Structural_Fabs,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2016,Feb,False,86,False,0
#ILookLikeAnEngineer,intsystemdesign,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Jul,False,86,False,0
#ILookLikeAnEngineer,ewilliams65,|RT @MissBurnheimer: #ILookLikeAnEngineer have you heard of @Roominate? Design, build, and create your own house, plane, etc! #STEMmerday ht…|,2010,Jul,False,7,False,0
#ILookLikeAnEngineer,benita112223,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Jun,False,86,False,0
#ILookLikeAnEngineer,KarenHolford,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2010,Jan,False,86,False,0
#ILookLikeAnEngineer,randomhypeprods,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2011,Jul,False,86,False,0
#ILookLikeAnEngineer,ClPaoloni,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Jun,False,86,False,0
#ILookLikeAnEngineer,10percentrising,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Jun,False,86,False,0
#ILookLikeAnEngineer,AnneSwinbourne,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Jun,False,86,False,0
#ILookLikeAnEngineer,wykeit,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Mar,False,86,False,0
#ILookLikeAnEngineer,egondie,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2011,Mar,False,86,False,0
#ILookLikeAnEngineer,RochesterBridge,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Dec,False,86,False,0
#ILookLikeAnEngineer,Alessandraschi6,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2012,Mar,False,86,False,0
#ILookLikeAnEngineer,intsfmb1,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Nov,False,86,False,0
#ILookLikeAnEngineer,VantagePtTech,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2012,Feb,False,86,False,0
#ILookLikeAnEngineer,SteveWhite2tfl,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Jun,False,86,False,0
#ILookLikeAnEngineer,vdeer70,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2012,Mar,False,86,False,0
#ILookLikeAnEngineer,GarethMBE,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Apr,False,86,False,0
#ILookLikeAnEngineer,GeoPennyL,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2016,Feb,False,86,False,0
#ILookLikeAnEngineer,JensenHunt_ltd,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Oct,False,86,False,0
#ILookLikeAnEngineer,TheIET,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2007,Mar,False,86,False,0
#ILookLikeAnEngineer,GarethD4PCC,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Mar,False,86,False,0
#ILookLikeAnEngineer,schwessinger,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Apr,False,86,False,0
#ILookLikeAnEngineer,PhilJ_Rose,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Jan,False,86,False,0
#ILookLikeAnEngineer,postmortemgirl,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Jul,False,86,False,0
#ILookLikeAnEngineer,WomenSciAUST,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Oct,False,86,False,0
#ILookLikeAnEngineer,Ideas_Factory,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Jan,False,86,False,0
#ILookLikeAnEngineer,lizi1988,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Apr,False,86,False,0
#ILookLikeAnEngineer,CCrecruits,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Dec,False,86,False,0
#ILookLikeAnEngineer,AmandaWhiteley,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2011,Sep,False,86,False,0
#ILookLikeAnEngineer,100ladyleaders,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Mar,False,86,False,0
#ILookLikeAnEngineer,womenoffuture,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2010,Jun,False,86,False,0
#ILookLikeAnEngineer,WillWhittow,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2012,May,False,86,False,0
#ILookLikeAnEngineer,pinkylilani,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2010,May,False,86,False,0
#ILookLikeAnEngineer,DcpWomen,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Mar,False,86,False,0
#ILookLikeAnEngineer,FDF,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2010,Apr,False,86,False,0
#ILookLikeAnEngineer,AtomicBettyBA,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,May,False,86,False,0
#ILookLikeAnEngineer,JenniferEastham,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2011,Oct,False,86,False,0
#ILookLikeAnEngineer,phatalstu,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Mar,False,86,False,0
#ILookLikeAnEngineer,elgeeko1506,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Nov,False,86,False,0
#ILookLikeAnEngineer,SuziSkoumal,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Sep,False,86,False,0
#ILookLikeAnEngineer,BbcollTracy,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Mar,False,86,False,0
#ILookLikeAnEngineer,tranquilotter,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Mar,False,86,False,0
#ILookLikeAnEngineer,FawcettPlymouth,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Mar,False,86,False,0
#ILookLikeAnEngineer,chrisgeorgecard,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2012,Oct,False,86,False,0
#ILookLikeAnEngineer,claire111Graham,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2012,May,False,86,False,0
#ILookLikeAnEngineer,coleman_21,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2012,Aug,False,86,False,0
#ILookLikeAnEngineer,NWWomensEnt,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2010,Jun,False,86,False,0
#ILookLikeAnEngineer,SandieOkoro,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Jul,False,86,False,0
#ILookLikeAnEngineer,itchingtostitch,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2012,Aug,False,86,False,0
#ILookLikeAnEngineer,LicenceToLiveCo,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2011,Aug,False,86,False,0
#ILookLikeAnEngineer,msb_counsel,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Sep,False,86,False,0
#ILookLikeAnEngineer,gallimaufrey777,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2013,Nov,False,86,False,0
#ILookLikeAnEngineer,WomanthologyUK,Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer https://t.co/PMob7XQQWM,2013,Jul,False,86,False,57
#ILookLikeAnEngineer,mechanical_edu,|RT @ASMEdotorg: Meet Amy Chambers, an #engineer who's racing toward the future https://t.co/s1xH7JFigr #ILookLikeAnEngineer https://t.co/Si…|,2013,Sep,False,2,False,0
#ILookLikeAnEngineer,ASMEdotorg,|Meet Amy Chambers, an #engineer who's racing toward the future https://t.co/s1xH7JFigr #ILookLikeAnEngineer https://t.co/SiSxWV9xhh|,2011,Aug,False,2,False,8
#ILookLikeAnEngineer,DataEu,RT @powertofly: 26 of the most powerful female engineers in 2016 https://t.co/6tpOc2X3d1 #ilooklikeanengineer #womenintech,2015,May,False,7,False,0
#ILookLikeAnEngineer,Klimmsen,RT @Anncairns4: Great to meet a fellow engineer launching MasterPass in Store #ILookLikeAnEngineer @natmoisture @MasterCardMEA https://t.co…,2009,Jun,False,18,False,0
#ILookLikeAnEngineer,joncipriano,|@rchoi @TwitterDev awesome, we've got our API support position filled! #ILookLikeAnEngineer|,2007,Apr,False,0,False,4
#ILookLikeAnEngineer,LouisColumbus,RT @scalevp: RT @SVbizjournal: 5 success stories to show girls power of engineering https://t.co/lf2j7g2og1  #ILookLikeAnEngineer https://t…,2008,Jul,False,5,False,0
#ILookLikeAnEngineer,CapeCodSTEAM,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2016,Jan,False,13,False,0
#ILookLikeAnEngineer,MJIBrown,RT @jengolbeck: Remember #distractinglysexy #ILookLikeAnEngineer #scishirt? Take a quick survey for our #distractinglySXSW panel! https://t…,2013,Jul,False,12,False,0
#ILookLikeAnEngineer,iliasb,|RT @Mike_K_Spencer: Women in Tech #Reloaded
#millennials #womenintech #siliconvalley #genderequity @LinkedInPulse  #ILookLikeAnEngineer htt…|,2007,May,False,4,False,0
#ILookLikeAnEngineer,mtlnewtech,|RT @Mike_K_Spencer: Women in Tech #Reloaded
#millennials #womenintech #siliconvalley #genderequity @LinkedInPulse  #ILookLikeAnEngineer htt…|,2008,Aug,False,4,False,0
#ILookLikeAnEngineer,mrskdempsey,|RT @MissBurnheimer: #ILookLikeAnEngineer have you heard of @Roominate? Design, build, and create your own house, plane, etc! #STEMmerday ht…|,2009,Sep,False,7,False,0
#ILookLikeAnEngineer,AllysonMMarkey,|#iLookLikeanEngineer: ‘Pursue your passions and what challenges you’, says Nimbus engineer https://t.co/8KlyHBg4m7|,2013,May,False,0,False,0
#ILookLikeAnEngineer,vcharylit,|RT @MissBurnheimer: #ILookLikeAnEngineer have you heard of @Roominate? Design, build, and create your own house, plane, etc! #STEMmerday ht…|,2014,Sep,False,7,False,0
#ILookLikeAnEngineer,philgetzen,RT @giqueme: "Engineers are not one size fits all." - @HelloDanio #ILookLikeAnEngineer https://t.co/eseBx91agx,2011,Jun,False,3,False,0
#ILookLikeAnEngineer,LIBPrincipal,|RT @MissBurnheimer: #ILookLikeAnEngineer have you heard of @Roominate? Design, build, and create your own house, plane, etc! #STEMmerday ht…|,2013,Jul,False,7,False,0
#ILookLikeAnEngineer,mdesenna,|She who builds, moves mountains. 💃🏻🙌 xo

#piecesofm #momblogger #girlboss #ilooklikeanengineer… https://t.co/KeJAo7puB7|,2010,Apr,False,0,False,0
#ILookLikeAnEngineer,HelloDanio,RT @giqueme: "Engineers are not one size fits all." - @HelloDanio #ILookLikeAnEngineer https://t.co/eseBx91agx,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,giqueme,"Engineers are not one size fits all." - @HelloDanio #ILookLikeAnEngineer https://t.co/eseBx91agx,2013,Oct,False,3,False,7
#ILookLikeAnEngineer,javascriptd,|RT @mdesenna: Maintaining rank. 
@HackerRank's #Javascript Week 2 Challenge. #piecesofm #tech #ilooklikeanengineer https://t.co/s2NYqQX87p|,2014,Aug,False,2,False,0
#ILookLikeAnEngineer,mdesenna,|When HackerRank's Render is buggy, just believe in your code and click Submit. 💃xo #piecesofm #tech #ILookLikeAnEngineer|,2010,Apr,False,0,False,0
#ILookLikeAnEngineer,BJKralik,|RT @mdesenna: Maintaining rank. 
@HackerRank's #Javascript Week 2 Challenge. #piecesofm #tech #ilooklikeanengineer https://t.co/s2NYqQX87p|,2015,Nov,False,2,False,0
#ILookLikeAnEngineer,mdesenna,|Maintaining rank. 
@HackerRank's #Javascript Week 2 Challenge. #piecesofm #tech #ilooklikeanengineer https://t.co/s2NYqQX87p|,2010,Apr,False,2,False,1
#ILookLikeAnEngineer,SeshatWuji,|RT @Mike_K_Spencer: Women in Tech #Reloaded
#millennials #womenintech #siliconvalley #genderequity @LinkedInPulse  #ILookLikeAnEngineer htt…|,2013,Apr,False,4,False,0
#ILookLikeAnEngineer,Mike_K_Spencer,|Women in Tech #Reloaded
#millennials #womenintech #siliconvalley #genderequity @LinkedInPulse  #ILookLikeAnEngineer https://t.co/ahurB7FjMs|,2014,Nov,False,4,False,8
#ILookLikeAnEngineer,trengarajan,@vanidevs it is wonderful to see women engineers on many teams at #vanhacks. #LeanIn #ILookLikeAnEngineer #BCtech,2008,Aug,False,1,False,1
#ILookLikeAnEngineer,WICEAwards,|RT @TaishkaLefler: Things designed &amp; made by women are in every single aspect of our lives. #ILookLikeAnEngineer #engineering #women
https:…|,2014,Mar,False,1,False,0
#ILookLikeAnEngineer,MissBurnheimer,|#ILookLikeAnEngineer have you heard of @Roominate? Design, build, and create your own house, plane, etc! #STEMmerday https://t.co/9V5A5b2lbd|,2014,Aug,False,7,False,4
#ILookLikeAnEngineer,TaishkaLefler,|Making stars in a lab. Yes, stars, like our sun! So Damn Exciting! #fusion #energy #stars #ILookLikeAnEngineer 
https://t.co/HMGE9Q8Yfi|,2011,Jun,False,0,False,0
#ILookLikeAnEngineer,TaishkaLefler,|Things designed &amp; made by women are in every single aspect of our lives. #ILookLikeAnEngineer #engineering #women
https://t.co/SrEeUpmc1A|,2011,Jun,False,1,False,0
#ILookLikeAnEngineer,ravensees,RT @lunaraptor: In my backyard after my day at work as a Software Engineer for Oracle. #ILookLikeAnEngineer  #looklikeanengineer http://t.c…,2015,Nov,False,2,False,0
#ILookLikeAnEngineer,Intel_IRL,Day 6 of our #ILookLikeAnEngineer campaign! #EngineersWeek https://t.co/duafVLOePq,2010,Mar,False,0,False,0
#ILookLikeAnEngineer,choinque,RT @scalevp: RT @SVbizjournal: 5 success stories to show girls power of engineering https://t.co/lf2j7g2og1  #ILookLikeAnEngineer https://t…,2008,Dec,False,5,False,0
#ILookLikeAnEngineer,GambleTherese,RT @ShellybanksET: #engweek16 Junior Infants built houses for the The Three Little Pigs and made them stronger!! #ILookLikeAnEngineer https…,2013,Jan,False,1,False,0
#ILookLikeAnEngineer,ShellybanksET,#engweek16 Junior Infants built houses for the The Three Little Pigs and made them stronger!! #ILookLikeAnEngineer https://t.co/mIkcEsFUiM,2012,Mar,False,1,False,5
#ILookLikeAnEngineer,Tt_Delph,RT @scalevp: RT @SVbizjournal: 5 success stories to show girls power of engineering https://t.co/lf2j7g2og1  #ILookLikeAnEngineer https://t…,2013,May,False,5,False,0
#ILookLikeAnEngineer,DanLaSota,|RT @ProjectVentura1: Makers gonna make, fear not little bro! Come try it yourself at our #sxswedu workshop #makered #ILookLikeAnEngineer ht…|,2011,Oct,False,2,False,0
#ILookLikeAnEngineer,ProjectVentura1,|Makers gonna make, fear not little bro! Come try it yourself at our #sxswedu workshop #makered #ILookLikeAnEngineer https://t.co/HCMsW1Qfks|,2012,Nov,False,2,False,7
#ILookLikeAnEngineer,moniber64,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2015,Apr,False,13,False,0
#ILookLikeAnEngineer,work_matters,RT @scalevp: RT @SVbizjournal: 5 success stories to show girls power of engineering https://t.co/lf2j7g2og1  #ILookLikeAnEngineer https://t…,2010,Mar,False,5,False,0
#ILookLikeAnEngineer,ashleyhowden,@SydScienceFest @kjr_au You betcha. This is gonna be fantastic! #womenintech #ilooklikeanengineer,2009,Oct,False,0,False,1
#ILookLikeAnEngineer,shaylaprice,#ILookLikeAnEngineer and Ashe Dryden’s (@ashedryden) Programming Diversity https://t.co/H9lIdcRWdi https://t.co/idemLxZyLD,2010,Dec,False,1,False,1
#ILookLikeAnEngineer,GleasonWanda,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/kU…,2016,Jan,False,3,False,0
#ILookLikeAnEngineer,scalevp,RT @SVbizjournal: 5 success stories to show girls power of engineering https://t.co/lf2j7g2og1  #ILookLikeAnEngineer https://t.co/z0NgtpT0HG,2008,Dec,False,5,False,4
#ILookLikeAnEngineer,irishdragon85,|RT @Amytheengineer: Some see a pretty face, girly hair and makeup and think, "She is not smart." Why is that? #ILookLikeAnEngineer http://t…|,2009,Jun,False,4,False,0
#ILookLikeAnEngineer,jfgotopo,RT @fjgotopo: Who said girls don't love robots? #FRC #FIRST  #ILookLikeAnEngineer  #GirlsInStem https://t.co/OY5AxDQIio,2010,Feb,False,1,False,0
#ILookLikeAnEngineer,jfgotopo,RT @fjgotopo: Robotics Fun today judging at #RyersonFRC #CANFIRST #ILookLikeAnEngineer #WeareCisco https://t.co/xALJQuWFt9,2010,Feb,False,1,False,0
#ILookLikeAnEngineer,Mike_K_Spencer,Women in Tech Reloaded #womenintech #ILookLikeAnEngineer #GirlCoders #siliconvalley #startup #entrepreneur #SaaS https://t.co/DpGRjW4bSG,2014,Nov,False,1,False,3
#ILookLikeAnEngineer,PHcontroller,RT @GAIconsultants: Rachel hosts 2nd-grader (&amp; future engineer!) Lily Futules: https://t.co/kiKtAB4cpo #ILookLikeAnEngineer #EWeek2016 http…,2013,Oct,False,2,False,0
#ILookLikeAnEngineer,Ardusat,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2012,Jun,False,13,False,0
#ILookLikeAnEngineer,NY_FAME,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2013,Nov,False,13,False,0
#ILookLikeAnEngineer,cmuirmath,RT @jengolbeck: Remember #distractinglysexy #ILookLikeAnEngineer #scishirt? Take a quick survey for our #distractinglySXSW panel! https://t…,2011,Aug,False,12,False,0
#ILookLikeAnEngineer,emilylurice,RT @jengolbeck: Remember #distractinglysexy #ILookLikeAnEngineer #scishirt? Take a quick survey for our #distractinglySXSW panel! https://t…,2007,Sep,False,12,False,0
#ILookLikeAnEngineer,PopMomDaily,What Moms Should Know About Getting Girls Involved In Tech https://t.co/5CjMVnJdZM via @MadameNoire #ILookLikeAnEngineer @GirlsWhoCode,2012,Oct,False,0,False,1
#ILookLikeAnEngineer,ClearpointPR,MT @MeilingSDBJ: Unequal Pay for Women in Tech. . . . .things have to change #ILookLikeAnEngineer https://t.co/k76G79bVOT @xconomy,2009,Dec,False,0,False,0
#ILookLikeAnEngineer,MeilingSDBJ,|Unequal Pay for Women in Tech. I'm sad for San Diego, things have to change #HeforShe, #ILookLikeAnEngineer https://t.co/NeJ6KnWWGy @xconomy|,2014,Aug,False,0,False,1
