Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#ILookLikeAnEngineer,Debbie_Winslow_,RT @st_parkin: When is a compliment not a compliment?  How to approach a woman engineer in the real world. https://t.co/8vwMtTnEgC  #ILookL…,2012,Jun,False,4,False,0
#ILookLikeAnEngineer,jWebMedia,"Recently compiled statistics reinforce that girls believe computers are for other people." #ILookLikeAnEngineer https://t.co/RFAguixVjC,2009,Jun,False,0,False,0
#ILookLikeAnEngineer,pclearytweets,|The good and bad for women in tech, it's been a so-so year https://t.co/W3sKnn9IVX #diversitymatters #equalitycounts #ILookLikeAnEngineer|,2009,May,False,0,False,0
#ILookLikeAnEngineer,tejthayer,|RT @brudymcd: Women in construction, awesome! #STEM #daretobedifferent #ilooklikeanengineer https://t.co/Qhclwsl0Rv|,2013,Jan,False,1,False,0
#ILookLikeAnEngineer,MissBurnheimer,Big Ben looks so cool - we built our very own clock towers using teamwork &amp; communication #STEM #iLookLikeanEngineer https://t.co/paXp8hwNws,2014,Aug,False,0,False,2
#ILookLikeAnEngineer,MissBurnheimer,Girls can be engineers too! Loving the teamwork with this all girl group today! #ILookLikeAnEngineer https://t.co/aaXT2oAeAr,2014,Aug,False,0,False,1
#ILookLikeAnEngineer,lillianerdahl,|Great to celebrate women in all fields, including #STEM #ILookLikeAnEngineer way to go uiowa https://t.co/1LMXPVShhx|,2009,Apr,False,0,False,2
#ILookLikeAnEngineer,UIowaResearch,|RT @UIowaEngr: Meet Mariama Corneh, a junior @uiowa_mie major: https://t.co/0kxwrr1SiJ #ILookLikeAnEngineer https://t.co/6l5om99Iwj|,2014,Apr,False,4,False,0
#ILookLikeAnEngineer,mrskdempsey,RT @MissBurnheimer: Design and build a freestanding clock tower set to 3:00 with moving hands! #ILookLikeAnEngineer https://t.co/S4n4rke9vQ,2009,Sep,False,2,False,0
#ILookLikeAnEngineer,spang,RT @UtilityAPI: To the ALL WOMEN voting panel last night for @sfpythonmeetup: THANK YOU! We're going to @pycon! #ILookLikeAnEngineer https:…,2009,Apr,False,1,False,0
#ILookLikeAnEngineer,itsMaryannz,|Applied to @google again, hopefully this time I'm more lucky. #GiveMeAChanceGoogle #IKnowYouNeedMoreGirlEngineers #ILookLikeAnEngineer|,2011,Aug,False,0,False,0
